service,subservice,path,method,name
account,account,/api/v2/user-info,get,Get Account Summary Info
account,account,/api/v1/user/api-key,get,Get Apikey Info
account,account,/api/v1/hf/accounts/opened,get,Get Account Type - Spot 
account,account,/api/v1/accounts,get,Get Account List - Spot
account,account,/api/v1/accounts/{accountId},get,Get Account Detail - Spot
account,account,/api/v3/margin/accounts,get,Get Account - Cross Margin
account,account,/api/v3/isolated/accounts,get,Get Account - Isolated Margin
account,account,/api/v1/account-overview,get,Get Account - Futures
account,account,/api/v1/accounts/ledgers,get,Get Account Ledgers - Spot/Margin
account,account,/api/v1/hf/accounts/ledgers,get,Get Account Ledgers - Trade_hf
account,account,/api/v3/hf/margin/account/ledgers,get,Get Account Ledgers - Margin_hf
account,account,/api/v1/transaction-history,get,Get Account Ledgers - Futures
account,account,/api/v1/margin/account,get,Get Account Detail - Margin
account,account,/api/v1/isolated/accounts,get,Get Account List - Isolated Margin - V1
account,account,/api/v1/isolated/account/{symbol},get,Get Account Detail - Isolated Margin - V1
account,subaccount,/api/v2/sub/user/created,post,Add SubAccount
account,subaccount,/api/v3/sub/user/margin/enable,post,Add SubAccount Margin Permission
account,subaccount,/api/v3/sub/user/futures/enable,post,Add SubAccount Futures Permission
account,subaccount,/api/v2/sub/user,get,Get SubAccount List - Summary Info
account,subaccount,/api/v1/sub-accounts/{subUserId},get,Get SubAccount Detail - Balance
account,subaccount,/api/v2/sub-accounts,get,Get SubAccount List - Spot Balance(V2)
account,subaccount,/api/v1/account-overview-all,get,Get SubAccount List - Futures Balance(V2)
account,subaccount,/api/v1/sub/api-key,post,Add SubAccount API
account,subaccount,/api/v1/sub/api-key/update,post,Modify SubAccount API
account,subaccount,/api/v1/sub/api-key,get,Get SubAccount API List
account,subaccount,/api/v1/sub/api-key,delete,Delete SubAccount API
account,subaccount,/api/v1/sub/user,get,Get SubAccount List - Summary Info(V1)
account,subaccount,/api/v1/sub-accounts,get,Get SubAccount List - Spot Balance(V1)
account,deposit,/api/v3/deposit-address/create,post,Add Deposit Address(V3)
account,deposit,/api/v3/deposit-addresses,get,Get Deposit Address(V3)
account,deposit,/api/v1/deposits,get,Get Deposit History
account,deposit,/api/v2/deposit-addresses,get,Get Deposit Addresses(V2)
account,deposit,/api/v1/deposit-addresses,get,Get Deposit Addresses - V1
