service,topic,method,pubic
Spot,"/market/ticker:{symbol},{symbol}",ticker,True
Spot,/market/ticker:all,allTickers,True
Spot,"/spotMarket/level1:{symbol},{symbol}",orderbookLevel1,True
Spot,"/spotMarket/level2Depth5:{symbol},{symbol}",orderbookLevel5,True
Spot,"/market/level2:{symbol},{symbol}",orderbookLevel50,True
Spot,"/market/level2:{symbol},{symbol}",orderbookIncrement,True
Spot,/market/candles:{symbol}_{type},klines,True
Spot,"/market/match:{symbol},{symbol}",trade,True
Spot,/market/snapshot:{symbol},symbolSnapshot,True
Spot,/market/snapshot:{market},marketSnapshot,True
Spot,/spotMarket/tradeOrdersV2,orderV2,False
Spot,/spotMarket/tradeOrders,orderV1,False
Spot,/account/balance,account,False
Margin,"/indicator/index:{symbol},{symbol}",indexPrice,True
Margin,"/indicator/markPrice:{symbol},{symbol}",markPrice,True
Margin,/margin/position,crossMarginPosition,False
Margin,/margin/isolatedPosition:{symbol},isolatedMarginPosition,False
Futures,/contractMarket/tickerV2:{symbol},tickerV2,True
Futures,/contractMarket/ticker:{symbol},tickerV1,True
Futures,/contractMarket/level2Depth5:{symbol},orderbookLevel5,True
Futures,/contractMarket/level2Depth50:{symbol},orderbookLevel50,True
Futures,/contractMarket/level2:{symbol},orderbookIncrement,True
Futures,/contractMarket/limitCandle:{symbol}_{type},klines,True
Futures,/contractMarket/execution:{symbol},execution,True
Futures,/contract/instrument:{symbol},instrument,True
Futures,/contract/announcement:{symbol},announcement,True
Futures,/contractMarket/snapshot:{symbol},symbolSnapshot,True
Futures,/contractMarket/tradeOrders:{symbol},order,False
Futures,/contractMarket/tradeOrders,allOrder,False
Futures,/contractAccount/wallet,balance,False
Futures,/contract/position:{symbol},position,False
Futures,/contract/positionAll,allPosition,False
Futures,/contract/marginMode,marginMode,False
Futures,/contract/crossLeverage,crossLeverage,False
Futures,/contractMarket/advancedOrders,stopOrders,False
